City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,aswan,0,EG,1536566400,28,24.09,32.9,93.2,12.75
1,punta arenas,0,CL,1536566400,86,-53.16,-70.91,39.2,8.05
2,mataura,0,NZ,1536570313,95,-46.19,168.86,40.18,5.17
3,georgetown,20,GY,1536566400,100,6.8,-58.16,73.4,2.24
4,hobart,0,AU,1536568200,76,-42.88,147.33,55.4,4.7
5,khuzdar,0,PK,1536570315,31,27.8,66.62,92.02,1.81
6,springbok,0,ZA,1536568920,14,-29.67,17.88,62.6,20.8
7,umm lajj,0,SA,1536570315,63,25.02,37.27,92.83,8.75
8,lokosovo,80,RU,1536570316,69,61.13,74.84,43.15,17.47
9,kruisfontein,0,ZA,1536570316,93,-34.0,24.73,62.77,8.19
10,port elizabeth,90,US,1536569700,96,39.31,-74.98,62.96,14.99
11,cap malheureux,40,MU,1536566400,47,-19.98,57.61,78.8,18.34
12,plettenberg bay,0,ZA,1536570318,94,-34.05,23.37,62.41,1.92
13,longyearbyen,20,NO,1536567600,80,78.22,15.63,41.0,2.24
14,sambava,20,MG,1536570318,98,-14.27,50.17,76.63,12.88
15,port blair,80,IN,1536570319,100,11.67,92.75,81.04,5.61
16,new norfolk,0,AU,1536568200,76,-42.78,147.06,55.4,4.7
17,clyde river,90,CA,1536566400,86,70.47,-68.59,33.8,4.27
18,riyadh,0,SA,1536566400,11,24.63,46.72,104.0,8.05
19,beisfjord,0,NO,1536569400,42,68.38,17.6,68.0,18.34
20,puerto ayora,76,EC,1536570321,100,-0.74,-90.35,69.25,11.43
21,notre-dame-du-lac,1,CA,1536565980,81,47.61,-68.8,39.02,4.7
22,ushuaia,20,AR,1536566400,45,-54.81,-68.31,44.6,14.99
23,bredasdorp,0,ZA,1536566400,51,-34.53,20.04,62.6,8.19
24,fortuna,20,ES,1536568200,54,38.18,-1.13,82.4,11.41
25,padang,24,ID,1536570323,100,-0.92,100.36,81.4,4.72
26,esperance,20,TT,1536566400,100,10.24,-61.45,75.2,3.94
27,vaini,56,IN,1536570323,84,15.34,74.49,78.7,4.83
28,mareeba,20,AU,1536568200,69,-16.99,145.42,73.4,17.22
29,lom sak,75,TH,1536566400,78,16.78,101.24,82.4,6.93
30,milan,0,IT,1536567600,69,45.47,9.19,77.0,3.36
31,zhangjiakou,92,CN,1536570325,70,40.77,114.88,62.23,8.75
32,kapaa,90,US,1536567300,97,22.08,-159.32,75.92,5.82
33,mayskiy,20,RU,1536568200,56,43.63,44.06,73.4,4.47
34,lakes entrance,8,AU,1536570326,87,-37.88,147.99,54.67,3.83
35,albany,90,US,1536569460,82,42.65,-73.75,53.96,3.71
36,atuona,100,PF,1536570327,98,-9.8,-139.03,79.96,14.23
37,jamestown,0,AU,1536570262,26,-33.21,138.6,62.68,6.73
38,barrow,80,AR,1536570328,95,-38.31,-60.23,44.05,6.62
39,makakilo city,1,US,1536566220,73,21.35,-158.09,78.98,3.36
40,trincomalee,20,LK,1536570328,100,8.58,81.23,79.78,3.6
41,rikitea,32,PF,1536570329,100,-23.12,-134.97,73.39,16.13
42,hualmay,24,PE,1536570329,93,-11.1,-77.61,49.27,1.59
43,khatanga,76,RU,1536570329,69,71.98,102.47,44.77,9.53
44,izazi,20,TZ,1536566400,44,-7.24,35.72,78.8,3.27
45,grindavik,75,IS,1536568200,100,63.84,-22.43,46.4,3.36
46,lebu,12,ET,1536570330,56,8.96,38.73,70.78,4.61
47,bluff,0,AU,1536570331,24,-23.58,149.07,70.96,8.52
48,qaanaaq,80,GL,1536570331,100,77.48,-69.36,28.03,1.59
49,georgiyevka,80,RU,1536570331,27,52.25,40.45,78.16,13.22
50,pontianak,75,ID,1536566400,52,-0.02,109.34,91.4,3.36
51,mayo,5,CA,1536566400,82,63.59,-135.9,35.6,4.7
52,tuktoyaktuk,64,CA,1536570332,100,69.44,-133.03,32.17,12.77
53,pereslavl-zalesskiy,48,RU,1536570332,75,56.74,38.86,60.52,12.77
54,okha,56,RU,1536570333,67,53.59,142.95,48.73,14.12
55,avarua,20,CK,1536566400,88,-21.21,-159.78,71.6,3.36
56,tasiilaq,90,GL,1536569400,86,65.61,-37.64,39.2,3.36
57,minudasht,0,IR,1536570334,59,37.23,55.37,84.91,4.5
58,pisco,90,PE,1536566400,88,-13.71,-76.2,62.6,3.36
59,komsomolskiy,76,RU,1536570334,79,67.55,63.78,41.98,11.99
