Sentiments_ID,Compound,Date,Media,Negative,Neutral,Positive,Tweets Ago
0,-0.0935,Fri Sep 14 08:03:01 +0000 2018,BBC,0.742,0.137,0.121,1
1,-0.4588,Fri Sep 14 07:32:01 +0000 2018,BBC,0.857,0.143,0.0,2
2,0.0,Thu Sep 13 19:08:05 +0000 2018,BBC,1.0,0.0,0.0,3
3,0.6114,Thu Sep 13 17:04:06 +0000 2018,BBC,0.6,0.0,0.4,4
4,0.4199,Thu Sep 13 16:03:14 +0000 2018,BBC,0.872,0.0,0.128,5
5,0.457,Thu Sep 13 16:03:03 +0000 2018,BBC,0.688,0.113,0.199,6
6,0.3818,Thu Sep 13 15:03:07 +0000 2018,BBC,0.822,0.0,0.178,7
7,0.8104,Thu Sep 13 14:03:03 +0000 2018,BBC,0.527,0.115,0.358,8
8,0.5994,Thu Sep 13 11:02:03 +0000 2018,BBC,0.822,0.0,0.178,9
9,0.0,Thu Sep 13 10:30:00 +0000 2018,BBC,1.0,0.0,0.0,10
10,0.5106,Thu Sep 13 09:04:08 +0000 2018,BBC,0.612,0.116,0.272,11
11,0.5719,Thu Sep 13 08:04:03 +0000 2018,BBC,0.73,0.0,0.27,12
12,0.4688,Thu Sep 13 07:31:07 +0000 2018,BBC,0.831,0.0,0.169,13
13,0.6369,Thu Sep 13 06:59:04 +0000 2018,BBC,0.698,0.0,0.302,14
14,0.6114,Thu Sep 13 06:03:01 +0000 2018,BBC,0.826,0.0,0.174,15
15,0.9136,Wed Sep 12 19:03:07 +0000 2018,BBC,0.542,0.0,0.458,16
16,0.1511,Wed Sep 12 17:03:07 +0000 2018,BBC,0.671,0.146,0.183,17
17,0.3612,Wed Sep 12 16:04:01 +0000 2018,BBC,0.828,0.0,0.172,18
18,-0.25,Wed Sep 12 15:02:02 +0000 2018,BBC,0.854,0.093,0.053,19
19,-0.296,Wed Sep 12 14:03:05 +0000 2018,BBC,0.742,0.152,0.105,20
