Sentiments_ID,Compound,Date,Media,Negative,Neutral,Positive,Tweets Ago
0,0.0,Thu Sep 13 20:52:06 +0000 2018,CBS,1.0,0.0,0.0,1
1,0.0,Thu Sep 13 20:28:06 +0000 2018,CBS,1.0,0.0,0.0,2
2,0.4753,Thu Sep 13 18:06:49 +0000 2018,CBS,0.699,0.083,0.218,3
3,0.0,Mon Sep 10 17:06:16 +0000 2018,CBS,1.0,0.0,0.0,4
4,-0.2263,Sun Sep 09 23:36:09 +0000 2018,CBS,0.917,0.083,0.0,5
5,0.6705,Sun Sep 09 14:00:00 +0000 2018,CBS,0.718,0.0,0.282,6
6,0.4215,Sat Sep 08 16:20:43 +0000 2018,CBS,0.851,0.0,0.149,7
7,0.0,Sat Sep 08 00:00:00 +0000 2018,CBS,1.0,0.0,0.0,8
8,-0.5411,Fri Sep 07 23:15:09 +0000 2018,CBS,0.712,0.196,0.092,9
9,0.0,Fri Sep 07 21:50:51 +0000 2018,CBS,1.0,0.0,0.0,10
10,-0.296,Thu Sep 06 22:10:49 +0000 2018,CBS,0.879,0.121,0.0,11
11,0.4753,Thu Sep 06 19:00:01 +0000 2018,CBS,0.808,0.0,0.192,12
12,0.0,Wed Sep 05 21:00:00 +0000 2018,CBS,1.0,0.0,0.0,13
13,0.3612,Wed Sep 05 17:32:40 +0000 2018,CBS,0.889,0.0,0.111,14
14,0.6908,Wed Sep 05 16:48:09 +0000 2018,CBS,0.467,0.0,0.533,15
15,0.4215,Tue Sep 04 20:34:26 +0000 2018,CBS,0.865,0.0,0.135,16
16,0.6514,Sat Sep 01 15:25:34 +0000 2018,CBS,0.829,0.0,0.171,17
17,0.0,Fri Aug 31 21:26:49 +0000 2018,CBS,1.0,0.0,0.0,18
18,0.0,Fri Aug 31 18:01:01 +0000 2018,CBS,1.0,0.0,0.0,19
19,-0.6908,Thu Aug 30 19:45:51 +0000 2018,CBS,0.761,0.239,0.0,20
