Sentiments_ID,Compound,Date,Media,Negative,Neutral,Positive,Tweets Ago
0,0.5598,Fri Sep 14 08:48:05 +0000 2018,CNN,0.806,0.0,0.194,1
1,-0.3818,Fri Sep 14 08:37:09 +0000 2018,CNN,0.874,0.126,0.0,2
2,0.0,Fri Sep 14 08:27:04 +0000 2018,CNN,1.0,0.0,0.0,3
3,-0.3612,Fri Sep 14 08:20:03 +0000 2018,CNN,0.839,0.161,0.0,4
4,0.4215,Fri Sep 14 08:16:07 +0000 2018,CNN,0.851,0.0,0.149,5
5,-0.3182,Fri Sep 14 08:07:07 +0000 2018,CNN,0.892,0.108,0.0,6
6,0.0,Fri Sep 14 08:01:06 +0000 2018,CNN,0.702,0.169,0.128,7
7,0.296,Fri Sep 14 07:56:07 +0000 2018,CNN,0.672,0.123,0.205,8
8,-0.4215,Fri Sep 14 07:51:07 +0000 2018,CNN,0.865,0.135,0.0,9
9,-0.9001,Fri Sep 14 07:46:04 +0000 2018,CNN,0.559,0.395,0.045,10
10,0.4767,Fri Sep 14 07:42:03 +0000 2018,CNN,0.846,0.0,0.154,11
11,0.0,Fri Sep 14 07:35:06 +0000 2018,CNN,1.0,0.0,0.0,12
12,-0.5413,Fri Sep 14 07:31:07 +0000 2018,CNN,0.845,0.155,0.0,13
13,-0.5106,Fri Sep 14 07:24:07 +0000 2018,CNN,0.751,0.249,0.0,14
14,0.0,Fri Sep 14 07:16:04 +0000 2018,CNN,1.0,0.0,0.0,15
15,0.0,Fri Sep 14 07:07:03 +0000 2018,CNN,1.0,0.0,0.0,16
16,0.0,Fri Sep 14 07:01:39 +0000 2018,CNN,1.0,0.0,0.0,17
17,0.5251,Fri Sep 14 06:52:04 +0000 2018,CNN,0.816,0.0,0.184,18
18,0.0,Fri Sep 14 06:48:17 +0000 2018,CNN,1.0,0.0,0.0,19
19,-0.1531,Fri Sep 14 06:46:07 +0000 2018,CNN,0.76,0.112,0.128,20
