Sentiments_ID,Compound,Date,Media,Negative,Neutral,Positive,Tweets Ago
0,0.6115,Fri Sep 14 08:38:49 +0000 2018,Fox,0.8,0.0,0.2,1
1,0.0,Fri Sep 14 08:33:00 +0000 2018,Fox,1.0,0.0,0.0,2
2,-0.5106,Fri Sep 14 08:28:52 +0000 2018,Fox,0.837,0.163,0.0,3
3,0.0,Fri Sep 14 08:24:12 +0000 2018,Fox,1.0,0.0,0.0,4
4,0.0,Fri Sep 14 08:16:13 +0000 2018,Fox,1.0,0.0,0.0,5
5,0.4215,Fri Sep 14 08:08:00 +0000 2018,Fox,0.823,0.0,0.177,6
6,0.1531,Fri Sep 14 07:50:00 +0000 2018,Fox,0.451,0.262,0.287,7
7,0.2732,Fri Sep 14 07:45:00 +0000 2018,Fox,0.861,0.0,0.139,8
8,0.0,Fri Sep 14 07:43:33 +0000 2018,Fox,1.0,0.0,0.0,9
9,-0.7906,Fri Sep 14 07:37:18 +0000 2018,Fox,0.562,0.438,0.0,10
10,0.4215,Fri Sep 14 07:25:37 +0000 2018,Fox,0.872,0.0,0.128,11
11,0.0,Fri Sep 14 07:16:40 +0000 2018,Fox,1.0,0.0,0.0,12
12,0.0,Fri Sep 14 07:05:15 +0000 2018,Fox,1.0,0.0,0.0,13
13,-0.8689,Fri Sep 14 06:59:55 +0000 2018,Fox,0.526,0.474,0.0,14
14,0.0,Fri Sep 14 06:55:00 +0000 2018,Fox,1.0,0.0,0.0,15
15,-0.4939,Fri Sep 14 06:52:58 +0000 2018,Fox,0.756,0.244,0.0,16
16,-0.0258,Fri Sep 14 06:43:36 +0000 2018,Fox,0.691,0.157,0.152,17
17,-0.743,Fri Sep 14 06:37:00 +0000 2018,Fox,0.578,0.422,0.0,18
18,-0.7506,Fri Sep 14 06:30:59 +0000 2018,Fox,0.67,0.33,0.0,19
19,-0.6486,Fri Sep 14 06:21:13 +0000 2018,Fox,0.788,0.212,0.0,20
20,-0.4939,Fri Sep 14 08:45:05 +0000 2018,NewYork Times,0.625,0.226,0.149,1
21,0.0,Fri Sep 14 08:30:07 +0000 2018,NewYork Times,1.0,0.0,0.0,2
22,0.0,Fri Sep 14 08:15:04 +0000 2018,NewYork Times,1.0,0.0,0.0,3
23,-0.4404,Fri Sep 14 08:00:09 +0000 2018,NewYork Times,0.879,0.121,0.0,4
24,0.2382,Fri Sep 14 07:45:02 +0000 2018,NewYork Times,0.857,0.051,0.092,5
25,-0.836,Fri Sep 14 07:30:08 +0000 2018,NewYork Times,0.635,0.365,0.0,6
26,0.0772,Fri Sep 14 07:19:14 +0000 2018,NewYork Times,0.936,0.0,0.064,7
27,0.0,Fri Sep 14 07:15:03 +0000 2018,NewYork Times,1.0,0.0,0.0,8
28,0.25,Fri Sep 14 07:00:09 +0000 2018,NewYork Times,0.889,0.0,0.111,9
29,0.0,Fri Sep 14 06:45:05 +0000 2018,NewYork Times,1.0,0.0,0.0,10
30,0.5994,Fri Sep 14 06:30:07 +0000 2018,NewYork Times,0.698,0.0,0.302,11
31,0.0,Fri Sep 14 06:15:05 +0000 2018,NewYork Times,1.0,0.0,0.0,12
32,0.3182,Fri Sep 14 06:00:13 +0000 2018,NewYork Times,0.867,0.0,0.133,13
33,0.3818,Fri Sep 14 05:45:03 +0000 2018,NewYork Times,0.88,0.0,0.12,14
34,0.0,Fri Sep 14 05:30:04 +0000 2018,NewYork Times,1.0,0.0,0.0,15
35,0.1779,Fri Sep 14 05:15:04 +0000 2018,NewYork Times,0.661,0.175,0.163,16
36,-0.6369,Fri Sep 14 05:02:02 +0000 2018,NewYork Times,0.84,0.16,0.0,17
37,0.0,Fri Sep 14 04:58:02 +0000 2018,NewYork Times,1.0,0.0,0.0,18
