Sentiments_ID,Compound,Date,Media,Negative,Neutral,Positive,Tweets Ago
0,0.0,Fri Sep 14 08:50:13 +0000 2018,Fox,1.0,0.0,0.0,1
1,0.6115,Fri Sep 14 08:38:49 +0000 2018,Fox,0.8,0.0,0.2,2
2,0.0,Fri Sep 14 08:33:00 +0000 2018,Fox,1.0,0.0,0.0,3
3,-0.5106,Fri Sep 14 08:28:52 +0000 2018,Fox,0.837,0.163,0.0,4
4,0.0,Fri Sep 14 08:24:12 +0000 2018,Fox,1.0,0.0,0.0,5
5,0.0,Fri Sep 14 08:16:13 +0000 2018,Fox,1.0,0.0,0.0,6
6,0.4215,Fri Sep 14 08:08:00 +0000 2018,Fox,0.823,0.0,0.177,7
7,0.1531,Fri Sep 14 07:50:00 +0000 2018,Fox,0.451,0.262,0.287,8
8,0.2732,Fri Sep 14 07:45:00 +0000 2018,Fox,0.861,0.0,0.139,9
9,0.0,Fri Sep 14 07:43:33 +0000 2018,Fox,1.0,0.0,0.0,10
10,-0.7906,Fri Sep 14 07:37:18 +0000 2018,Fox,0.562,0.438,0.0,11
11,0.4215,Fri Sep 14 07:25:37 +0000 2018,Fox,0.872,0.0,0.128,12
12,0.0,Fri Sep 14 07:16:40 +0000 2018,Fox,1.0,0.0,0.0,13
13,0.0,Fri Sep 14 07:05:15 +0000 2018,Fox,1.0,0.0,0.0,14
14,-0.8689,Fri Sep 14 06:59:55 +0000 2018,Fox,0.526,0.474,0.0,15
15,0.0,Fri Sep 14 06:55:00 +0000 2018,Fox,1.0,0.0,0.0,16
16,-0.4939,Fri Sep 14 06:52:58 +0000 2018,Fox,0.756,0.244,0.0,17
17,-0.0258,Fri Sep 14 06:43:36 +0000 2018,Fox,0.691,0.157,0.152,18
18,-0.743,Fri Sep 14 06:37:00 +0000 2018,Fox,0.578,0.422,0.0,19
19,-0.7506,Fri Sep 14 06:30:59 +0000 2018,Fox,0.67,0.33,0.0,20
