Sentiments_ID,Compound,Date,Media,Negative,Neutral,Positive,Tweets Ago
0,-0.4939,Fri Sep 14 08:45:05 +0000 2018,NewYork Times,0.625,0.226,0.149,1
1,0.0,Fri Sep 14 08:30:07 +0000 2018,NewYork Times,1.0,0.0,0.0,2
2,0.0,Fri Sep 14 08:15:04 +0000 2018,NewYork Times,1.0,0.0,0.0,3
3,-0.4404,Fri Sep 14 08:00:09 +0000 2018,NewYork Times,0.879,0.121,0.0,4
4,0.2382,Fri Sep 14 07:45:02 +0000 2018,NewYork Times,0.857,0.051,0.092,5
5,-0.836,Fri Sep 14 07:30:08 +0000 2018,NewYork Times,0.635,0.365,0.0,6
6,0.0772,Fri Sep 14 07:19:14 +0000 2018,NewYork Times,0.936,0.0,0.064,7
7,0.0,Fri Sep 14 07:15:03 +0000 2018,NewYork Times,1.0,0.0,0.0,8
8,0.25,Fri Sep 14 07:00:09 +0000 2018,NewYork Times,0.889,0.0,0.111,9
9,0.0,Fri Sep 14 06:45:05 +0000 2018,NewYork Times,1.0,0.0,0.0,10
10,0.5994,Fri Sep 14 06:30:07 +0000 2018,NewYork Times,0.698,0.0,0.302,11
11,0.0,Fri Sep 14 06:15:05 +0000 2018,NewYork Times,1.0,0.0,0.0,12
12,0.3182,Fri Sep 14 06:00:13 +0000 2018,NewYork Times,0.867,0.0,0.133,13
13,0.3818,Fri Sep 14 05:45:03 +0000 2018,NewYork Times,0.88,0.0,0.12,14
14,0.0,Fri Sep 14 05:30:04 +0000 2018,NewYork Times,1.0,0.0,0.0,15
15,0.1779,Fri Sep 14 05:15:04 +0000 2018,NewYork Times,0.661,0.175,0.163,16
16,-0.6369,Fri Sep 14 05:02:02 +0000 2018,NewYork Times,0.84,0.16,0.0,17
17,0.0,Fri Sep 14 04:58:02 +0000 2018,NewYork Times,1.0,0.0,0.0,18
18,0.0,Fri Sep 14 04:47:06 +0000 2018,NewYork Times,1.0,0.0,0.0,19
19,0.0,Fri Sep 14 04:32:07 +0000 2018,NewYork Times,1.0,0.0,0.0,20
