"","AvgSalary","City","Company","Designation","lat","lng","Max.Salary","Min.Salary","Source","State","Title"
"1",62.5,"Peachtree City","SMC 3","Data Analyst",33.3943,-84.5711,72,53,"Glassdoor","GA",""
"2",NA,"Asheville","GPM, Corp","Data Analyst",35.5703,-82.5536,NA,NA,"Glassdoor","NC",""
"3",67.5,"Fort Lauderdale","Trividia Health","Data Analyst",26.1412,-80.1464,78,57,"Glassdoor","FL",""
"4",73.5,"Morrisville","Conduent","Data Analyst",35.8359,-78.8349,91,56,"Glassdoor","NC",""
"5",50,"Denver","Computershare","Data Analyst",39.7621,-104.8759,57,43,"Glassdoor","CO",""
"6",NA,"Dublin","T-Cetra","Data Analyst",40.1112,-83.1451,NA,NA,"Glassdoor","OH",""
"7",70.5,"Milwaukee","Northwestern Mutual","Data Analyst",43.064,-87.9669,80,61,"Glassdoor","WI",""
"8",NA,"Wytheville","PILLAR Inc.","Data Analyst",36.953,-81.0881,NA,NA,"Glassdoor","VA",""
"9",51.5,"Colchester","Vermont Information Processing","Data Analyst",NA,NA,59,44,"Glassdoor","VT",""
"10",NA,"San Diego","Klinedinst","Data Analyst",32.8312,-117.1225,NA,NA,"Glassdoor","CA",""
"11",67.5,"New York","qualifIQ","Data Analyst",40.6943,-73.9249,75,60,"Glassdoor","NY",""
"12",111.5,"San Francisco","Zynga","Data Analyst",37.7561,-122.4429,127,96,"Glassdoor","CA",""
"13",62.5,"Melville","Newsday LLC","Data Analyst",40.7823,-73.4087,75,50,"Glassdoor","NY",""
"14",107,"Sunnyvale","Walmart eCommerce","Data Analyst",37.3846,-122.0261,123,91,"Glassdoor","CA",""
"15",NA,"San Diego","Jet Legal Tech","Data Analyst",32.8312,-117.1225,NA,NA,"Glassdoor","CA",""
"16",NA,"Jupiter","Smith Hanley Associates","Data Analyst",26.9195,-80.1123,NA,NA,"Glassdoor","FL",""
"17",58,"Rocklin","American Pacific Mortgage","Data Analyst",38.8078,-121.2491,66,50,"Glassdoor","CA",""
"18",NA,"Chicago","United Airlines","Data Analyst",41.8373,-87.6861,NA,NA,"Glassdoor","IL",""
"19",NA,"Newark","Marlette Funding","Data Analyst",37.5204,-122.0312,NA,NA,"Glassdoor","CA",""
"20",NA,"Boston","Radius Bank","Data Analyst",42.3189,-71.0838,NA,NA,"Glassdoor","MA",""
"21",NA,"Beaverton","VanderHouwen","Data Analyst",45.4779,-122.8168,NA,NA,"Glassdoor","OR",""
"22",61.5,"Draper","HealthEquity, Inc.","Data Analyst",40.4956,-111.8607,71,52,"Glassdoor","UT",""
"23",69,"New York","Fareportal Inc.","Data Analyst",40.6943,-73.9249,80,58,"Glassdoor","NY",""
"24",77.5,"Arlington","Planned Systems International","Data Analyst",38.8786,-77.1011,89,66,"Glassdoor","VA",""
"25",45.5,"Framingham","Definitive Healthcare","Data Analyst",42.3085,-71.4367,56,35,"Glassdoor","MA",""
"26",NA,"Miami Lakes","American Bancshares Mortgage","Data Analyst",25.9125,-80.3214,NA,NA,"Glassdoor","FL",""
"27",79.5,"Baltimore","T. Rowe Price","Data Analyst",39.3051,-76.6144,90,69,"Glassdoor","MD",""
"28",44,"Omaha","Professional Research Consultants","Data Analyst",41.2634,-96.0453,50,38,"Glassdoor","NE",""
"29",141.5,"San Jose","Affinity Solutions","Data Analyst",37.302,-121.8488,160,123,"Glassdoor","CA",""
"30",NA,"Charlotte","Electric Power Research Institute, Inc.","Data Analyst",35.208,-80.8308,NA,NA,"Glassdoor","NC",""
"31",79.5,"Plano","Bank of America","Data Analyst",33.0502,-96.7487,91,68,"Glassdoor","TX",""
"32",79.5,"Baltimore","T. Rowe Price","Data Analyst",39.3051,-76.6144,90,69,"Glassdoor","MD",""
"33",47,"Fort Lauderdale","Zimmerman Advertising","Data Analyst",26.1412,-80.1464,53,41,"Glassdoor","FL",""
"34",65,"Sacramento","UC Davis Health","Data Analyst",38.5666,-121.4683,74,56,"Glassdoor","CA",""
"35",63.5,"Plano","Fisher Investments","Data Analyst",33.0502,-96.7487,76,51,"Glassdoor","TX",""
"36",55,"Nashville","Advance Financial","Data Analyst",36.1714,-86.7844,65,45,"Glassdoor","TN",""
"37",NA,"Nashville","AllianceBernstein","Data Analyst",36.1714,-86.7844,NA,NA,"Glassdoor","TN",""
"38",60,"Richmond","EAB","Data Analyst",37.5294,-77.4755,73,47,"Glassdoor","VA",""
"39",117,"Agoura Hills","PennyMac","Data Analyst",34.151,-118.7608,124,110,"Glassdoor","CA",""
"40",95,"Crystal City","TeraThink","Data Analyst",NA,NA,110,80,"Glassdoor","VA",""
"41",60,"Centreville","Dimension Data","Data Analyst",38.8391,-77.4388,70,50,"Glassdoor","VA",""
"42",110,"San Francisco","Healthline Media","Data Analyst",37.7561,-122.4429,127,93,"Glassdoor","CA",""
"43",56.5,"Rochester","Eastman Kodak","Data Analyst",43.1681,-77.6162,65,48,"Glassdoor","NY",""
"44",90.5,"Boston","Westernacher","Data Analyst",42.3189,-71.0838,107,74,"Glassdoor","MA",""
"45",73,"Auburn Hills","Comerica Bank","Data Analyst",42.6734,-83.2447,87,59,"Glassdoor","MI",""
"46",NA,"Norfolk","Frontier Technology, Inc","Data Analyst",36.8945,-76.259,NA,NA,"Glassdoor","VA",""
"47",64.5,"Loma Linda","Loma Linda University Medical Center","Data Analyst",34.0448,-117.2504,79,50,"Glassdoor","CA",""
"48",81.5,"Crystal City","Whitney, Bradley and Brown","Data Analyst",NA,NA,99,64,"Glassdoor","VA",""
"49",53,"Redmond","Pactera","Data Analyst",47.6776,-122.1176,61,45,"Glassdoor","WA",""
"50",49,"Jacksonville","Tax Defense Network","Data Analyst",30.3322,-81.6749,56,42,"Glassdoor","FL",""
"51",NA,"Houston","Convergent","Data Analyst",29.7871,-95.3936,NA,NA,"Glassdoor","TX",""
"52",70,"New York","MarketSearch","Data Analyst",40.6943,-73.9249,80,60,"Glassdoor","NY",""
"53",60.5,"Brookline","Facing History and Ourselves, Inc","Data Analyst",42.3243,-71.1408,70,51,"Glassdoor","MA",""
"54",57,"Charlotte","Investor Management Services","Data Analyst",35.208,-80.8308,66,48,"Glassdoor","NC",""
"55",62.5,"Chicago","NCSA - Next College Student Athlete","Data Analyst",41.8373,-87.6861,72,53,"Glassdoor","IL",""
"56",51.5,"Radnor","eMoney Advisor","Data Analyst",NA,NA,61,42,"Glassdoor","PA",""
"57",68.5,"Bronx","Affinity Health Plan","Data Analyst",40.8501,-73.8662,79,58,"Glassdoor","NY",""
"58",NA,"Norwalk","Remedy Partners","Data Analyst",41.1144,-73.4215,NA,NA,"Glassdoor","CT",""
"59",NA,"Washington","Georgetown University","Data Analyst",38.9047,-77.0163,NA,NA,"Glassdoor","DC",""
"60",59,"New York","RAPP","Data Analyst",40.6943,-73.9249,68,50,"Glassdoor","NY",""
"61",117,"Agoura Hills","PennyMac","Data Analyst",34.151,-118.7608,124,110,"Glassdoor","CA",""
"62",54.5,"Boston","WordStream","Data Analyst",42.3189,-71.0838,63,46,"Glassdoor","MA",""
"63",107,"Sunnyvale","Walmart eCommerce","Data Analyst",37.3846,-122.0261,123,91,"Glassdoor","CA",""
"64",79.5,"Plano","Bank of America","Data Analyst",33.0502,-96.7487,91,68,"Glassdoor","TX",""
"65",65,"Sacramento","UC Davis Health","Data Analyst",38.5666,-121.4683,74,56,"Glassdoor","CA",""
"66",47,"Fort Lauderdale","Zimmerman Advertising","Data Analyst",26.1412,-80.1464,53,41,"Glassdoor","FL",""
"67",95.5,"New York","Percolate","Data Analyst",40.6943,-73.9249,110,81,"Glassdoor","NY",""
"68",90.5,"San Francisco","Plethora","Data Analyst",37.7561,-122.4429,104,77,"Glassdoor","CA",""
"69",83.5,"Arlington","Gerber Products","Data Analyst",38.8786,-77.1011,95,72,"Glassdoor","VA",""
"70",67.5,"Portland","comScore","Data Analyst",45.5372,-122.65,77,58,"Glassdoor","OR",""
"71",68,"Boston","ezCater","Data Analyst",42.3189,-71.0838,78,58,"Glassdoor","MA",""
"72",NA,"Roanoke","Tekmark Global Solutions","Data Analyst",37.2784,-79.9581,NA,NA,"Glassdoor","VA",""
"73",67,"Vancouver","Fisher Investments","Data Analyst",45.6352,-122.5972,76,58,"Glassdoor","WA",""
"74",122,"San Francisco","Twitch","Data Analyst",37.7561,-122.4429,153,91,"Glassdoor","CA",""
"75",56.5,"Rochester","Eastman Kodak","Data Analyst",43.1681,-77.6162,65,48,"Glassdoor","NY",""
"76",87.5,"Concord","AssetMark","Data Analyst",37.9722,-122.0016,100,75,"Glassdoor","CA",""
"77",54,"Boston","MFA Boston","Data Analyst",42.3189,-71.0838,63,45,"Glassdoor","MA",""
"78",63.5,"Taunton","The Boston Globe","Data Analyst",41.9036,-71.0943,72,55,"Glassdoor","MA",""
"79",NA,"Fargo","AgCountry Farm Credit Services","Data Analyst",46.8654,-96.829,NA,NA,"Glassdoor","ND",""
"80",NA,"New London","Dining Alliance","Data Analyst",41.3502,-72.1023,NA,NA,"Glassdoor","CT",""
"81",88,"Shelton","Lockheed Martin","Data Analyst",41.306,-73.1383,98,78,"Glassdoor","CT",""
"82",NA,"Los Angeles","Cameo","Data Analyst",34.114,-118.4068,NA,NA,"Glassdoor","CA",""
"83",NA,"Bothell","HUNTER Technical Resources","Data Analyst",47.774,-122.2039,NA,NA,"Glassdoor","WA",""
"84",49,"Jacksonville","Tax Defense Network","Data Analyst",30.3322,-81.6749,56,42,"Glassdoor","FL",""
"85",109.5,"San Francisco","Rally Health","Data Analyst",37.7561,-122.4429,125,94,"Glassdoor","CA",""
"86",NA,"Menlo Park","Aquent","Data Analyst",37.4689,-122.1662,NA,NA,"Glassdoor","CA",""
"87",81,"New York","Starry","Data Analyst",40.6943,-73.9249,93,69,"Glassdoor","NY",""
"88",NA,"Phoenix","Saint Lukes Medical Center","Data Analyst",33.5722,-112.0891,NA,NA,"Glassdoor","AZ",""
"89",92.5,"Detroit","DTE Energy","Data Analyst",42.3834,-83.1024,103,82,"Glassdoor","MI",""
"90",NA,"Palo Alto","Earnin","Data Analyst",37.3917,-122.1465,NA,NA,"Glassdoor","CA",""
"91",NA,"Pleasanton","Vitamin T","Data Analyst",37.666,-121.8805,NA,NA,"Glassdoor","CA",""
"92",NA,"New York","QED National","Data Analyst",40.6943,-73.9249,NA,NA,"Glassdoor","NY",""
"93",NA,"Norwalk","Remedy Partners","Data Analyst",41.1144,-73.4215,NA,NA,"Glassdoor","CT",""
"94",57,"Irvine","Taco Bell","Data Analyst",33.6772,-117.7738,69,45,"Glassdoor","CA",""
"95",61.5,"Draper","HealthEquity, Inc.","Data Analyst",40.4956,-111.8607,71,52,"Glassdoor","UT",""
"96",NA,"Cambridge","Hopper","Data Analyst",42.3758,-71.1184,NA,NA,"Glassdoor","MA",""
"97",57.5,"Austin","SHI International Corp.","Data Analyst",30.3038,-97.7545,66,49,"Glassdoor","TX",""
"98",NA,"Houston","IronEdge Group","Data Analyst",29.7871,-95.3936,NA,NA,"Glassdoor","TX",""
"99",106.5,"Parsippany","IQVIA","Data Analyst",40.8579,-74.426,133,80,"Glassdoor","NJ",""
"100",71,"Salem","RADGOV","Data Analyst",44.9231,-123.0245,81,61,"Glassdoor","OR",""
"101",NA,"Monroe","Union County, North Carolina","Data Analyst",35.0062,-80.5593,NA,NA,"Glassdoor","NC",""
"102",80.5,"Menlo Park","Mindlance","Data Analyst",37.4689,-122.1662,94,67,"Glassdoor","CA",""
"103",62,"Minneapolis","Fairview Health Services","Data Analyst",44.9635,-93.2679,71,53,"Glassdoor","MN",""
"104",NA,"San Francisco","Envoy","Data Analyst",37.7561,-122.4429,NA,NA,"Glassdoor","CA",""
"105",71.5,"Arlington","Politico","Data Analyst",38.8786,-77.1011,82,61,"Glassdoor","VA",""
"106",74.5,"Boston","Boston Consulting Group","Data Analyst",42.3189,-71.0838,85,64,"Glassdoor","MA",""
"107",76,"Tempe","MUFG","Data Analyst",33.3881,-111.9318,86,66,"Glassdoor","AZ",""
"108",74,"San Diego","Booz Allen Hamilton Inc.","Data Analyst",32.8312,-117.1225,83,65,"Glassdoor","CA",""
"109",52,"Tempe","Insight Enterprises, Inc.","Data Analyst",33.3881,-111.9318,60,44,"Glassdoor","AZ",""
"110",79,"New York","Noom","Data Analyst",40.6943,-73.9249,92,66,"Glassdoor","NY",""
"111",77.5,"Phoenix","SunSoft Online","Data Analyst",33.5722,-112.0891,89,66,"Glassdoor","AZ",""
"112",53.5,"Cambridge","Panjiva","Data Analyst",42.3758,-71.1184,62,45,"Glassdoor","MA",""
"113",71.5,"Hamilton","ABAL Technologies","Data Analyst",40.2071,-74.0813,82,61,"Glassdoor","NJ",""
"114",65.5,"Northbrook","Multivision Inc","Data Analyst",42.1292,-87.8352,75,56,"Glassdoor","IL",""
"115",60,"Chicago","Vivid Seats","Data Analyst",41.8373,-87.6861,69,51,"Glassdoor","IL",""
"116",NA,"Saint Louis","Robert Half","Data Analyst",38.6358,-90.2451,NA,NA,"Glassdoor","MO",""
"117",NA,"United States","Esurance","Data Analyst",NA,NA,NA,NA,"Glassdoor","United States",""
"118",58.5,"Elk Grove Village","pddninc.net","Data Analyst",42.0061,-87.9929,67,50,"Glassdoor","IL",""
"119",NA,"Boston","Comlinkdata","Data Analyst",42.3189,-71.0838,NA,NA,"Glassdoor","MA",""
"120",109.5,"San Francisco","IntelliPro Group Inc.","Data Analyst",37.7561,-122.4429,126,93,"Glassdoor","CA",""
"121",NA,"New York","Donnelly & Moore Corporation","Data Analyst",40.6943,-73.9249,NA,NA,"Glassdoor","NY",""
"122",53.5,"Saint Louis","National Geospatial-Intelligence Agency","Data Analyst",38.6358,-90.2451,60,47,"Glassdoor","MO",""
"123",68.5,"Bronx","Affinity Health Plan","Data Analyst",40.8501,-73.8662,79,58,"Glassdoor","NY",""
"124",NA,"Atlanta","Horizontal Integration","Data Analyst",33.7627,-84.4231,NA,NA,"Glassdoor","GA",""
"125",100,"San Antonio","USAA","Data Analyst",29.4722,-98.5247,113,87,"Glassdoor","TX",""
"126",NA,"Burlingame","Oh My Green","Data Analyst",37.586,-122.367,NA,NA,"Glassdoor","CA",""
"127",NA,"Jupiter","Smith Hanley Associates","Data Analyst",26.9195,-80.1123,NA,NA,"Glassdoor","FL",""
"128",NA,"Cambridge","Hopper","Data Analyst",42.3758,-71.1184,NA,NA,"Glassdoor","MA",""
"129",57.5,"Austin","SHI International Corp.","Data Analyst",30.3038,-97.7545,66,49,"Glassdoor","TX",""
"130",59.5,"Lawrenceville","M3","Data Analyst",33.9524,-83.993,73,46,"Glassdoor","GA",""
"131",68.5,"Arlington","Promontory Interfinancial Network","Data Analyst",38.8786,-77.1011,82,55,"Glassdoor","VA",""
"132",76.5,"Atlanta","UPS","Data Analyst",33.7627,-84.4231,88,65,"Glassdoor","GA",""
"133",78,"Springfield","Associated Electric Cooperative","Data Analyst",37.1943,-93.2916,89,67,"Glassdoor","MO",""
"134",NA,"Uniontown","ComDoc","Data Analyst",40.9736,-81.4045,NA,NA,"Glassdoor","OH",""
"135",122,"San Francisco","Twitch","Data Analyst",37.7561,-122.4429,153,91,"Glassdoor","CA",""
"136",117.5,"San Francisco","Fitbit","Data Analyst",37.7561,-122.4429,135,100,"Glassdoor","CA",""
"137",53.5,"Saint Louis","National Geospatial-Intelligence Agency","Data Analyst",38.6358,-90.2451,60,47,"Glassdoor","MO",""
"138",56,"Santa Ana","Optima Tax Relief","Data Analyst",33.7366,-117.8819,64,48,"Glassdoor","CA",""
"139",NA,"San Francisco","The Utility Reform Network","Data Analyst",37.7561,-122.4429,NA,NA,"Glassdoor","CA",""
"140",NA,"United States","Media Search Inc.","Data Analyst",NA,NA,NA,NA,"Glassdoor","United States",""
"141",NA,"Roanoke","Tekmark Global Solutions","Data Analyst",37.2784,-79.9581,NA,NA,"Glassdoor","VA",""
"142",95.5,"Oakland","KAISER","Data Analyst",37.7903,-122.2165,110,81,"Glassdoor","CA",""
"143",63.5,"Taunton","The Boston Globe","Data Analyst",41.9036,-71.0943,72,55,"Glassdoor","MA",""
"144",NA,"Columbus","Fast Switch","Data Analyst",39.9859,-82.9852,NA,NA,"Glassdoor","OH",""
"145",74.5,"Atlanta","First Advantage Corporation","Data Analyst",33.7627,-84.4231,85,64,"Glassdoor","GA",""
"146",NA,"Fargo","AgCountry Farm Credit Services","Data Analyst",46.8654,-96.829,NA,NA,"Glassdoor","ND",""
"147",NA,"New London","Dining Alliance","Data Analyst",41.3502,-72.1023,NA,NA,"Glassdoor","CT",""
"148",88,"Shelton","Lockheed Martin","Data Analyst",41.306,-73.1383,98,78,"Glassdoor","CT",""
"149",NA,"Menlo Park","Aquent","Data Analyst",37.4689,-122.1662,NA,NA,"Glassdoor","CA",""
"150",81,"New York","Starry","Data Analyst",40.6943,-73.9249,93,69,"Glassdoor","NY",""
"151",NA,"Palo Alto","Earnin","Data Analyst",37.3917,-122.1465,NA,NA,"Glassdoor","CA",""
