,AvgSalary,City,Company,Designation,Lat,Long,Max Salary,Min Salary,Source,State,Title,_id
0,62.5,Peachtree City,SMC 3,Data Analyst,,,72.0,53.0,Glassdoor,GA,,5c09e631af11378e24f8794b
1,,Asheville,"GPM, Corp",Data Analyst,,,,,Glassdoor,NC,,5c09e631af11378e24f8794c
2,67.5,Fort Lauderdale,Trividia Health,Data Analyst,,,78.0,57.0,Glassdoor,FL,,5c09e631af11378e24f8794d
3,73.5,Morrisville,Conduent,Data Analyst,,,91.0,56.0,Glassdoor,NC,,5c09e631af11378e24f8794e
4,50.0,Denver,Computershare,Data Analyst,,,57.0,43.0,Glassdoor,CO,,5c09e631af11378e24f8794f
5,,Dublin,T-Cetra,Data Analyst,,,,,Glassdoor,OH,,5c09e631af11378e24f87950
6,70.5,Milwaukee,Northwestern Mutual,Data Analyst,,,80.0,61.0,Glassdoor,WI,,5c09e631af11378e24f87951
7,,Wytheville,PILLAR Inc.,Data Analyst,,,,,Glassdoor,VA,,5c09e631af11378e24f87952
8,51.5,Colchester,Vermont Information Processing,Data Analyst,,,59.0,44.0,Glassdoor,VT,,5c09e631af11378e24f87953
9,,San Diego,Klinedinst,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f87954
10,67.5,New York,qualifIQ,Data Analyst,,,75.0,60.0,Glassdoor,NY,,5c09e631af11378e24f87955
11,111.5,San Francisco,Zynga,Data Analyst,,,127.0,96.0,Glassdoor,CA,,5c09e631af11378e24f87956
12,62.5,Melville,Newsday LLC,Data Analyst,,,75.0,50.0,Glassdoor,NY,,5c09e631af11378e24f87957
13,107.0,Sunnyvale,Walmart eCommerce,Data Analyst,,,123.0,91.0,Glassdoor,CA,,5c09e631af11378e24f87958
14,,San Diego,Jet Legal Tech,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f87959
15,,Jupiter,Smith Hanley Associates,Data Analyst,,,,,Glassdoor,FL,,5c09e631af11378e24f8795a
16,58.0,Rocklin,American Pacific Mortgage,Data Analyst,,,66.0,50.0,Glassdoor,CA,,5c09e631af11378e24f8795b
17,,Chicago,United Airlines,Data Analyst,,,,,Glassdoor,IL,,5c09e631af11378e24f8795c
18,,Newark,Marlette Funding,Data Analyst,,,,,Glassdoor,CA,,5c09e631af11378e24f8795d
19,,Boston,Radius Bank,Data Analyst,,,,,Glassdoor,MA,,5c09e631af11378e24f8795e
20,,Beaverton,VanderHouwen,Data Analyst,,,,,Glassdoor,OR,,5c09e631af11378e24f8795f
21,61.5,Draper,"HealthEquity, Inc.",Data Analyst,,,71.0,52.0,Glassdoor,UT,,5c09e631af11378e24f87960
22,69.0,New York,Fareportal Inc.,Data Analyst,,,80.0,58.0,Glassdoor,NY,,5c09e631af11378e24f87961
23,77.5,Arlington,Planned Systems International,Data Analyst,,,89.0,66.0,Glassdoor,VA,,5c09e631af11378e24f87962
24,45.5,Framingham,Definitive Healthcare,Data Analyst,,,56.0,35.0,Glassdoor,MA,,5c09e631af11378e24f87963
25,,Miami Lakes,American Bancshares Mortgage,Data Analyst,,,,,Glassdoor,FL,,5c09e631af11378e24f87964
26,79.5,Baltimore,T. Rowe Price,Data Analyst,,,90.0,69.0,Glassdoor,MD,,5c09e631af11378e24f87965
27,44.0,Omaha,Professional Research Consultants,Data Analyst,,,50.0,38.0,Glassdoor,NE,,5c09e631af11378e24f87966
28,141.5,San Jose,Affinity Solutions,Data Analyst,,,160.0,123.0,Glassdoor,CA,,5c09e631af11378e24f87967
29,,Charlotte,"Electric Power Research Institute, Inc.",Data Analyst,,,,,Glassdoor,NC,,5c09e631af11378e24f87968
30,79.5,Plano,Bank of America,Data Analyst,,,91.0,68.0,Glassdoor,TX,,5c09e631af11378e24f87969
31,79.5,Baltimore,T. Rowe Price,Data Analyst,,,90.0,69.0,Glassdoor,MD,,5c09e631af11378e24f8796a
32,47.0,Fort Lauderdale,Zimmerman Advertising,Data Analyst,,,53.0,41.0,Glassdoor,FL,,5c09e631af11378e24f8796b
33,65.0,Sacramento,UC Davis Health,Data Analyst,,,74.0,56.0,Glassdoor,CA,,5c09e631af11378e24f8796c
34,63.5,Plano,Fisher Investments,Data Analyst,,,76.0,51.0,Glassdoor,TX,,5c09e631af11378e24f8796d
35,55.0,Nashville,Advance Financial,Data Analyst,,,65.0,45.0,Glassdoor,TN,,5c09e631af11378e24f8796e
